fr,jp
un=一;ichi  
deux=二;ni  
trois=三;san  
quatre=四;shi/yon  
cinq=五;go  
six=六;roku  
sept=七;shichi/nana  
huit=八;hachi  
neuf=九;kyuu/ku  
dix=十;juu  
cent=百;hyaku  
mille=千;sen  
yen=円;en  
personne=人;hito  
enfant=子;ko  
femme=女;onna  
homme=男;otoko  
soleil=日;hi  
lune=月;tsuki  
feu=火;hi  
eau=水;mizu  
arbre=木;ki  
montagne=山;yama  
rivière=川;kawa  
terre=土;tsuchi  
ciel=空;sora  
pluie=雨;ame  
fleur=花;hana  
herbe=草;kusa  
forêt=森;mori  
pierre=石;ishi  
poisson=魚;sakana  
oiseau=鳥;tori  
chien=犬;inu  
chat=猫;neko  
cheval=馬;uma  
insecte=虫;mushi  
or=金;kin  
argent=銀;gin  
temps=時;ji  
main=手;te  
pied=足;ashi  
œil=目;me  
oreille=耳;mimi  
bouche=口;kuchi  
cœur=心;kokoro  
tête=頭;atama  
corps=体;karada  
ventre=腹;hara  
force=力;chikara  
esprit=気;ki  
nom=名;na  
année=年;nen  
école=校;kou  
étudier=学;gaku  
livre=本;hon  
mot=語;go  
écriture=文;bun  
langue=言;gen  
chemin=道;michi  
véhicule=車;kuruma  
train=電車;densha  
gare=駅;eki  
village=村;mura  
ville=町;machi  
île=島;shima  
mer=海;umi  
vent=風;kaze  
neige=雪;yuki  
lumière=光;hikari  
obscurité=暗;kurai  
jour=昼;hiru  
nuit=夜;yoru  
manger=食;shoku  
boire=飲;nomu  
voir=見;miru  
écouter=聞;kiku  
parler=話;hanasu  
penser=思;omou  
entrer=入;iru  
sortir=出;deru  
se lever=立;tatsu  
s'asseoir=座;suwa  
ouvrir=開;hiraku  
fermer=閉;to  
grand=大;dai/ookii  
petit=小;shou/chisai  
haut=高;taka  
bas=低;hiku  
long=長;naga  
court=短;mijikai  
ancien=古;furui  
nouveau=新;atarashii  
blanc=白;shiro  
noir=黒;kuro  
rouge=赤;aka  
bleu=青;ao  
jaune=黄;ki  
vert=緑;midori  
clair=明;akarui  
chaud=暑;atsui  
froid=寒;samu  
loin=遠;tooi  
près=近;chikai  
beau=美;utsukushii  
facile=易;yasashii  
difficile=難;muzukashii  
cher=高い;takai  
bon marché=安い;yasui  
rapide=速い;hayai  
lent=遅い;osoi  
fort=強;tsuyoi  
faible=弱;yowai  
bien=良;ii  
mauvais=悪;warui  
vivre=生;ikiru  
mourir=死;shinu  
aimer=愛;ai  
haïr=嫌;kirau  
ami=友;tomo  
parent=親;oya  
étoile=星;hoshi  
ciel=天;ten  
terre=地;chi  
feuille=葉;ha  
fruit=果;ka  
légume=菜;sai  
champ=畑;hatake  
forêt=林;hayashi  
nuage=雲;kumo  
rivière=河;kawa  
lac=湖;mizuumi  
mont=岳;take  
animal=動物;doubutsu  
chose=物;mono  
marcher=歩;aru  
courir=走;hashiru  
nager=泳;oyogu  
voler=飛;tobu  
s'arrêter=止;tomeru  
acheter=買;kau  
vendre=売;uru  
aider=助;tasu  
attendre=待;mat  
penser=考;kangaeru  
connaître=知;shiru  
aller=行;iku  
venir=来;kuru  
retourner=帰;kaeru  
voyager=旅;tabi  
entrer=入;iru  
sortir=出;deru  
se lever=起;okiru  
s'asseoir=座;suwa  
apprendre=習;nara  
enseigner=教;oshieru  
travailler=働;hatara  
dormir=寝;neru  
écrire=書;kaku  
lire=読;yomu  
comprendre=分;wakaru  
donner=与;ataeru  
recevoir=受;ukeru  
rêver=夢;yume  
jouer=遊;asobu  
chanter=歌;utau  
danser=踊;odoru  
parler=話;hanasu  
poser=置;oku  
tenir=持;mochi  
ouvrir=開;hiraku  
fermer=閉;tojiru  
finir=終;owaru  
commencer=始;hajimeru  
croire=信;shinjiru  
devoir=務;tsutome  
perdre=失;ushinau  
gagner=得;eru  
aimer=好;suki  
apprécier=楽;tano  
vivre=住;sumu  
mourir=死;shinu  
souffrir=苦;kurushimu  
regarder=見;miru  
entendre=聞;kiku  
dire=言;iu  
pleurer=泣;naku  
rire=笑;warau  
sentir=感;kan  
penser=考;kangaeru  
rappeler=覚;oboeru  
oublier=忘;wasureru  
changer=変;kaeru  
rester=残;nokoru  
partir=去;saru  
monter=乗;noru  
descendre=降;oru  
tourner=回;mawaru  
grandir=育;sodatsu  
tomber=落;ochiru  
porter=着;kiru  
quitter=脱;nugu  
suivre=従;shitagau  
appeler=呼;yobu  
atteindre=届;todoku  
fermer=閉;tojiru  
ouvrir=開;hiraku  
